User_ID,Age,Gender,Location,Total_Purchases,Average_Spending,Product_ID,Product_Name,Brand,Product_Type,Category,Price,Rating,Discount,Search_Query,Time_Spent_On_Product,Click_Count,Cart_Added,Bought
U2685,44,Male,Mumbai,72,19964.07,P70698,Zara Casual T-Shirt,Zara,T-Shirt,Clothing,38204.87,4.2,30,t-shirt,26,21,Yes,1
U5936,39,Female,Chennai,87,1932.21,P92210,HP Pavilion 15,HP,Laptop,Electronics,8064.79,2.7,52,laptop,10,15,Yes,0
U5695,34,Female,Mumbai,68,29151.52,P78079,Dove Intense Repair Shampoo,Dove,Shampoo,Beauty,25358.98,3.0,29,shampoo,37,6,Yes,0
U2711,44,Female,Mumbai,23,12345.34,P93318,OnePlus 11 5G,OnePlus,Smartphone,Electronics,59885.72,4.0,38,smartphone,3,7,No,0
U3414,31,Female,Delhi,9,14698.65,P14074,Zara ComfortPro Active,Zara,T-Shirt,Clothing,41984.15,3.9,13,t-shirt,22,6,No,0
U3561,47,Female,Chennai,57,11624.38,P31887,Levi's 511 Slim Jeans,Levi's,Jeans,Clothing,58506.86,2.7,6,jeans,8,14,No,0
U1811,39,Female,Hyderabad,91,12465.66,P65635,Dove HyperBoost Active,Dove,Shampoo,Beauty,25370.96,4.5,9,shampoo,14,15,No,0
U7373,18,Male,Delhi,51,29756.5,P67179,L'Oreal Paris Total Repair Shampoo,L'Oreal,Shampoo,Beauty,16045.58,4.2,52,shampoo,12,18,No,1
U8693,58,Male,Kolkata,87,26884.63,P56477,Mamaearth Onion Shampoo,Mamaearth,Shampoo,Beauty,98926.27,2.7,56,shampoo,60,31,Yes,1
U8841,18,Male,Bangalore,7,18096.53,P95915,Mamaearth UrbanStep Neo,Mamaearth,Shampoo,Beauty,83928.43,4.0,60,shampoo,43,18,Yes,1
U5287,41,Male,Delhi,88,37609.21,P41655,HP AirFlex Prime,HP,Laptop,Electronics,24165.25,4.4,1,laptop,8,6,Yes,1
U6263,48,Female,Hyderabad,7,7426.0,P63343,L'Oreal AirFlex Neo,L'Oreal,Shampoo,Beauty,78195.46,3.3,52,shampoo,2,16,Yes,1
U6716,29,Female,Hyderabad,18,24890.95,P69634,Levi's SmartFit Advance,Levi's,Jeans,Clothing,7777.35,5.0,54,jeans,39,23,No,1
U7167,43,Male,Chennai,57,37861.45,P45792,Lenovo IdeaPad 3,Lenovo,Laptop,Electronics,77019.99,2.9,6,laptop,6,25,Yes,0
U5377,56,Female,Hyderabad,9,7740.99,P96765,Mamaearth HyperBoost Max,Mamaearth,Shampoo,Beauty,30767.59,4.2,15,shampoo,57,12,Yes,1
U1611,39,Male,Hyderabad,60,46295.2,P63503,Zara SmartFit Active,Zara,T-Shirt,Clothing,37323.55,4.3,31,t-shirt,57,25,No,0
U5831,34,Male,Chennai,96,4621.5,P49313,OnePlus ComfortPro Fusion,OnePlus,Smartphone,Electronics,88078.9,4.0,56,smartphone,39,6,Yes,1
U6375,35,Male,Pune,73,44387.13,P15355,L'Oreal TrailBlaze Max,L'Oreal,Shampoo,Beauty,13451.69,3.4,16,shampoo,56,38,Yes,0
U5439,35,Male,Chennai,33,40671.58,P14700,L'Oreal SmartFit Prime,L'Oreal,Shampoo,Beauty,73288.21,3.7,45,shampoo,31,11,Yes,1
U3850,31,Female,Delhi,78,36221.2,P31643,Levi's HyperBoost Pro X,Levi's,Jeans,Clothing,13924.74,3.1,3,jeans,25,25,No,0
U2272,56,Male,Delhi,71,47234.13,P30329,Head & Shoulders Anti-Dandruff Shampoo,Head & Shoulders,Shampoo,Beauty,6146.57,2.5,21,shampoo,45,24,Yes,0
U1238,52,Male,Chennai,22,12768.58,P36828,Zara VisionX Elite,Zara,T-Shirt,Clothing,76733.79,3.5,46,t-shirt,16,40,Yes,1
U1648,43,Female,Pune,1,26832.38,P47217,OnePlus AirFlex Edge,OnePlus,Smartphone,Electronics,28792.08,4.4,25,smartphone,17,4,No,0
U8204,27,Female,Mumbai,82,48581.0,P51640,L'Oreal TrailBlaze Neo,L'Oreal,Shampoo,Beauty,16715.74,2.9,25,shampoo,5,5,No,0
U1870,33,Male,Pune,75,23678.65,P25878,Apple iPhone 14,Apple,Smartphone,Electronics,75381.29,2.9,11,smartphone,41,23,Yes,0
U7241,22,Female,Pune,64,12028.76,P18418,Apple VisionX Elite,Apple,Smartphone,Electronics,73048.22,4.5,10,smartphone,38,24,Yes,1
U9183,54,Male,Delhi,82,4338.36,P58555,Pantene Smooth & Silky Shampoo,Pantene,Shampoo,Beauty,1656.96,2.9,30,shampoo,28,40,Yes,0
U8850,42,Male,Chennai,56,33436.53,P41459,Boat Rockerz 450,Boat,Headphones,Electronics,13826.02,3.8,17,headphones,12,24,Yes,1
U1147,45,Male,Hyderabad,96,37238.58,P56447,Zara TrailBlaze Ultra,Zara,T-Shirt,Clothing,96657.95,4.2,52,t-shirt,6,23,Yes,1
U2984,47,Female,Mumbai,74,36255.9,P86212,Dove UrbanStep Prime,Dove,Shampoo,Beauty,9487.36,4.5,19,shampoo,10,8,No,0
U7473,45,Female,Pune,3,7392.5,P85423,Puma RS-X Sneakers,Puma,Sneakers,Sports,53515.3,4.1,23,sneakers,33,8,Yes,1
U5260,38,Female,Bangalore,43,39476.08,P31050,Zara TrailBlaze Max,Zara,T-Shirt,Clothing,98859.62,4.1,45,t-shirt,14,16,Yes,1
U6631,45,Female,Delhi,62,20903.38,P29211,HP VisionX Active,HP,Laptop,Electronics,22033.28,5.0,58,laptop,50,37,No,1
U8188,45,Male,Bangalore,79,44255.66,P60841,L'Oreal UrbanStep Core,L'Oreal,Shampoo,Beauty,91507.34,4.5,43,shampoo,52,35,Yes,1
U4809,41,Male,Chennai,24,45633.45,P61327,Samsung Galaxy S23,Samsung,Smartphone,Electronics,90097.61,4.7,7,smartphone,36,17,No,0
U5223,22,Male,Pune,27,24476.66,P44462,OnePlus SmartFit Elite,OnePlus,Smartphone,Electronics,39145.01,4.1,48,smartphone,45,19,Yes,1
U1819,42,Male,Kolkata,33,31929.74,P92064,OnePlus ComfortPro Elite,OnePlus,Smartphone,Electronics,87758.34,3.9,35,smartphone,49,24,Yes,1
U7200,34,Male,Mumbai,51,40069.26,P27544,Zara AirFlex Active,Zara,T-Shirt,Clothing,21507.08,3.3,52,t-shirt,40,17,Yes,1
U2993,58,Male,Chennai,31,21847.76,P87708,Puma HyperBoost Prime,Puma,Sneakers,Sports,67263.36,4.0,34,sneakers,7,11,No,0
U4605,47,Male,Delhi,94,46108.36,P65104,Mamaearth TrailBlaze Ultra,Mamaearth,Shampoo,Beauty,9267.93,3.8,52,shampoo,58,7,No,0
U7097,48,Male,Mumbai,87,44811.47,P25484,Dove AirFlex Plus,Dove,Shampoo,Beauty,90693.12,4.3,11,shampoo,42,23,Yes,1
U1417,35,Female,Delhi,16,19389.76,P95634,Levi's SmartFit Fusion,Levi's,Jeans,Clothing,44269.98,4.7,14,jeans,40,26,No,0
U8668,60,Male,Bangalore,12,13408.0,P36829,Samsung HyperBoost Pro X,Samsung,Smartphone,Electronics,69109.86,2.9,7,smartphone,53,34,No,0
U3683,25,Female,Kolkata,79,24853.02,P74486,Dove VisionX Neo,Dove,Shampoo,Beauty,94589.72,3.7,49,shampoo,19,37,No,1
U2784,28,Male,Mumbai,72,43836.1,P50121,Pantene TrailBlaze Elite,Pantene,Shampoo,Beauty,93934.07,4.1,49,shampoo,25,25,Yes,1
U2716,58,Female,Bangalore,86,3138.74,P10426,Puma UrbanStep Neo,Puma,Sneakers,Sports,20921.19,4.3,20,sneakers,16,34,No,0
U5074,30,Male,Delhi,71,38033.05,P20450,HP HyperBoost Active,HP,Laptop,Electronics,52637.44,4.7,58,laptop,54,22,No,1
U8431,26,Male,Mumbai,1,48111.77,P64817,Puma UrbanStep Plus,Puma,Sneakers,Sports,57169.32,3.5,27,sneakers,11,25,No,0
U5372,25,Female,Bangalore,79,20681.91,P79045,Adidas Ultraboost 22,Adidas,Running Shoes,Sports,27869.38,4.5,34,running shoes,56,8,No,0
U6426,43,Male,Chennai,83,24422.39,P76078,Boat SmartFit Fusion,Boat,Headphones,Electronics,96410.73,4.4,42,headphones,18,17,Yes,1
U6222,44,Male,Hyderabad,67,39840.81,P61012,Head UrbanStep Plus,Head & Shoulders,Shampoo,Beauty,40142.73,3.1,54,shampoo,3,18,Yes,1
U6696,27,Female,Delhi,22,36232.44,P19599,Pantene PowerRun Core,Pantene,Shampoo,Beauty,97487.8,3.9,26,shampoo,56,15,No,0
U6945,42,Female,Mumbai,31,26777.72,P48297,Apple SmartFit Edge,Apple,Smartphone,Electronics,78630.6,4.1,5,smartphone,57,12,Yes,1
U7995,49,Male,Delhi,87,49934.89,P10296,Lenovo UrbanStep Ultra,Lenovo,Laptop,Electronics,17829.09,3.9,56,laptop,37,14,Yes,1
U5500,32,Female,Mumbai,15,33476.52,P22704,Boat HyperBoost Elite,Boat,Headphones,Electronics,12668.85,3.6,24,headphones,50,25,Yes,1
U4796,23,Male,Chennai,4,30821.65,P93249,Puma PowerRun Ultra,Puma,Sneakers,Sports,57109.75,3.8,0,sneakers,49,4,No,0
U5071,25,Male,Bangalore,83,12886.1,P78754,Head UrbanStep Max,Head & Shoulders,Shampoo,Beauty,42753.39,2.8,37,shampoo,59,11,Yes,0
U5248,25,Female,Kolkata,20,44194.63,P78431,Levi's VisionX Advance,Levi's,Jeans,Clothing,99575.02,4.7,12,jeans,30,16,No,0
U5398,37,Male,Mumbai,72,42403.47,P98229,Puma ComfortPro Plus,Puma,Sneakers,Sports,40283.6,4.1,18,sneakers,50,13,Yes,1
U8371,28,Female,Bangalore,6,17813.78,P60992,HP UrbanStep Elite,HP,Laptop,Electronics,16038.9,3.1,32,laptop,44,20,No,0
U8202,29,Male,Mumbai,17,6883.64,P67127,Pantene SmartFit Fusion,Pantene,Shampoo,Beauty,49641.05,2.9,0,shampoo,48,8,Yes,0
U3573,60,Male,Pune,99,569.59,P14871,Lenovo SmartFit Elite,Lenovo,Laptop,Electronics,740.84,2.6,16,laptop,60,24,No,0
U9369,58,Male,Kolkata,71,11947.04,P26187,Samsung PowerRun Elite,Samsung,Smartphone,Electronics,32369.76,4.3,12,smartphone,47,9,Yes,1
U5164,57,Male,Pune,98,9723.3,P64967,L'Oreal VisionX Neo,L'Oreal,Shampoo,Beauty,22591.25,4.3,55,shampoo,57,38,No,1
U7214,39,Female,Kolkata,87,26823.23,P66511,Pantene UrbanStep Fusion,Pantene,Shampoo,Beauty,54115.55,2.7,9,shampoo,4,29,No,0
U3559,37,Female,Mumbai,62,6235.87,P85030,Levi's SmartFit Max,Levi's,Jeans,Clothing,14015.63,2.5,31,jeans,16,11,No,0
U7291,50,Female,Mumbai,19,2864.71,P29138,Puma AirFlex Edge,Puma,Sneakers,Sports,30825.45,4.3,15,sneakers,37,11,No,0
U2473,18,Female,Bangalore,94,43921.47,P52728,Levi's ComfortPro Elite,Levi's,Jeans,Clothing,10613.08,4.5,34,jeans,35,1,No,0
U1056,45,Female,Chennai,88,24462.82,P32309,Mamaearth PowerRun Edge,Mamaearth,Shampoo,Beauty,24327.58,4.5,22,shampoo,52,10,No,0
U1442,45,Male,Hyderabad,66,5126.52,P64533,Boat AirFlex Active,Boat,Headphones,Electronics,35779.98,2.7,37,headphones,20,21,No,0
U4928,57,Male,Hyderabad,30,16678.09,P18867,Zara UrbanStep Edge,Zara,T-Shirt,Clothing,17923.99,3.7,31,t-shirt,41,33,Yes,1
U5119,54,Female,Hyderabad,30,38533.77,P10865,Nike Air Zoom Pegasus,Nike,Running Shoes,Sports,89792.38,4.8,50,running shoes,34,34,Yes,1
U6314,60,Male,Kolkata,8,45039.39,P72225,HP UrbanStep Neo,HP,Laptop,Electronics,15098.98,2.6,42,laptop,44,36,Yes,1
U9702,28,Male,Delhi,91,17895.99,P97788,Levi's UrbanStep Elite,Levi's,Jeans,Clothing,31997.44,4.4,8,jeans,4,5,Yes,0
U3272,37,Male,Delhi,22,47701.01,P49433,Zara HyperBoost Advance,Zara,T-Shirt,Clothing,36355.52,2.7,57,t-shirt,55,29,No,1
U2247,27,Male,Pune,71,13841.26,P58249,Adidas VisionX Prime,Adidas,Running Shoes,Sports,49066.72,3.4,40,running shoes,36,20,No,0
U3760,42,Male,Mumbai,48,839.0,P13664,Mamaearth PowerRun Neo,Mamaearth,Shampoo,Beauty,16742.69,3.7,10,shampoo,49,36,No,0
U1624,56,Male,Pune,67,42635.31,P32267,Adidas AirFlex Ultra,Adidas,Running Shoes,Sports,83996.81,4.8,37,running shoes,54,40,No,0
U4800,53,Female,Delhi,69,17748.34,P47061,Apple VisionX Active,Apple,Smartphone,Electronics,49571.29,3.0,23,smartphone,32,18,No,0
U8965,57,Female,Pune,92,4857.11,P12377,Apple SmartFit Neo,Apple,Smartphone,Electronics,41890.51,3.7,10,smartphone,53,35,No,0
U5802,50,Male,Pune,3,20064.52,P97614,Dove SmartFit Elite,Dove,Shampoo,Beauty,46090.84,4.9,12,shampoo,48,28,Yes,1
U4554,51,Female,Chennai,64,32288.25,P90474,Pantene PowerRun Neo,Pantene,Shampoo,Beauty,15617.86,3.6,48,shampoo,29,21,No,1
U3732,37,Female,Delhi,23,27504.85,P81364,Dove HyperBoost Neo,Dove,Shampoo,Beauty,19281.27,2.7,25,shampoo,35,39,No,0
U1419,27,Female,Kolkata,92,12820.25,P37065,Adidas TrailBlaze Plus,Adidas,Running Shoes,Sports,40197.62,3.1,0,running shoes,23,10,No,0
